property,level,encoder,mean_er,ci_low,ci_high,n_seeds,level_num
skew,low,PCA,2.6738757505997173,2.6351612517541816,2.712590249445253,5,0
skew,mid,PCA,2.6888889110034153,2.6529547914909903,2.7248230305158403,5,1
skew,high,PCA,2.716153098022283,2.6865218623648963,2.7457843336796697,5,2
skew,low,TabNet,1.472917364941027,1.388718715533161,1.557116014348893,10,0
skew,mid,TabNet,1.8312372067900895,1.5661603660973311,2.096314047482848,10,1
skew,high,TabNet,1.9422017506845741,1.6036152535718466,2.2807882477973016,10,2
skew,low,TransTab,1.9245924987614007,1.6844491741420773,2.164735823380724,10,0
skew,mid,TransTab,1.523120390266612,1.3042018572487424,1.7420389232844815,10,1
skew,high,TransTab,2.116200970772505,1.5503887109351417,2.6820132306098685,10,2
