property,level,encoder,mean_auc,ci_low,ci_high,n_seeds,level_num
missing,low,PCA,0.8697176511234703,0.8251334318037896,0.914301870443151,5,0
missing,mid,PCA,0.9038774664807339,0.8765328805584447,0.931222052403023,5,1
missing,high,PCA,0.9231858795326922,0.9153332159644555,0.9310385431009288,5,2
missing,low,TabNet,0.8234823217141019,0.7833764674607451,0.8635881759674586,10,0
missing,mid,TabNet,0.8685817423773814,0.8464863258709227,0.8906771588838401,10,1
missing,high,TabNet,0.8728349209120958,0.8445946180359108,0.9010752237882808,10,2
missing,low,TransTab,0.8291902824800225,0.808600727108727,0.8497798378513179,10,0
missing,mid,TransTab,0.774886400934227,0.7488978620618191,0.8008749398066349,10,1
missing,high,TransTab,0.8516918173914914,0.8368433403392063,0.8665402944437764,10,2
